"Varname","Theme","ThemeEn","VarLabel","VarLabelEn","numLevel","textLevel","textLabelEn","Type","coeff_label"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",4,"30 bis 34 Jahre","30 to 34 years","Ordinal","age5B4"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",5,"35 bis 39 Jahre","35 to 39 years","Ordinal","age5B5"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",6,"40 bis 44 Jahre","40 to 44 years","Ordinal","age5B6"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",7,"45 bis 49 Jahre","45 to 49","Ordinal","age5B7"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",8,"50 bis 54 Jahre","50 to 54 years","Ordinal","age5B8"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",9,"55 bis 59 Jahre","55 to 59 years","Ordinal","age5B9"
"MIbirthplace","Migrationsstatus (1705)","Migration Status (1705)","Geburtsland (EHIS)","Country of birth (EHIS)",10,"Deutschland","Germany","Nominal","MIbirthplace10"
"MIbirthplace","Migrationsstatus (1705)","Migration Status (1705)","Geburtsland (EHIS)","Country of birth (EHIS)",21,"Geboren in einem anderen EU Staat","Born in another EU country","Nominal","MIbirthplace21"
"MIbirthplace","Migrationsstatus (1705)","Migration Status (1705)","Geburtsland (EHIS)","Country of birth (EHIS)",22,"Geboren in einem Nicht-EU-Staat","Born in a non-EU country","Nominal","MIbirthplace22"
"MIcitizen","Migrationsstatus (1705)","Migration Status (1705)","Staatsangehörigkeit","nationality",10,"Deutsch","German","Nominal","MIcitizen10"
"MIcitizen","Migrationsstatus (1705)","Migration Status (1705)","Staatsangehörigkeit","nationality",21,"Nichtdeutsch, aber EU","Not German, but EU","Nominal","MIcitizen21"
"MIcitizen","Migrationsstatus (1705)","Migration Status (1705)","Staatsangehörigkeit","nationality",22,"Nichtdeutsch und Nicht-EU","Not German and non-EU","Nominal","MIcitizen22"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",-97,"Nicht erhoben","not applicable","Nominal","bula-97"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",1,"Schleswig-Holstein","Schleswig-Holstein","Nominal","bula1"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",10,"Saarland","Saarland","Nominal","bula10"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",11,"Berlin","Berlin","Nominal","bula11"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",12,"Brandenburg","Brandenburg","Nominal","bula12"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",13,"Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","Nominal","bula13"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",14,"Sachsen","Saxony","Nominal","bula14"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",15,"Sachsen-Anhalt","Saxony-Anhalt","Nominal","bula15"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",16,"Thüringen","Thuringia","Nominal","bula16"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",2,"Hamburg","Hamburg","Nominal","bula2"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",3,"Niedersachsen","Lower Saxony","Nominal","bula3"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",4,"Bremen","Bremen","Nominal","bula4"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",5,"Nordrhein-Westfalen","North Rhine-Westphalia","Nominal","bula5"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",6,"Hessen","Hesse","Nominal","bula6"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",7,"Rheinland-Pfalz","Rheinland-Pfalz","Nominal","bula7"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",8,"Baden-Württemberg","Baden-Wurttemberg","Nominal","bula8"
"bula","Stamm (1801)","Strain (1801)","Bundesland","state",9,"Bayern","Bavaria","Nominal","bula9"
"PAgroe","Personenangaben (1702)","Personal data (1702)","Körpergröße (Selbstangabe) [cm]","Height (self-specification) [cm]",NA,NA,NA,"Scale","PAgroeNA"
"PAgewiB","Personenangaben (1702)","Personal data (1702)","Körpergewicht (Selbstangabe) [kg]","Body weight (self-specification) [kg]",NA,NA,NA,"Scale","PAgewiBNA"
"IAkv1D","Inanspruchnahme (1401)","Use (1401)","Krankenversicherung in 3 Kat.","Health Insurance in 3 Cat.",1,"GKV","SHI","Nominal","IAkv1D1"
"IAkv1D","Inanspruchnahme (1401)","Use (1401)","Krankenversicherung in 3 Kat.","Health Insurance in 3 Cat.",2,"PKV/Beihilfe","PKV / aid","Nominal","IAkv1D2"
"IAkv1D","Inanspruchnahme (1401)","Use (1401)","Krankenversicherung in 3 Kat.","Health Insurance in 3 Cat.",3,"Rest","rest","Nominal","IAkv1D3"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",1,"Bis 500 €","To 500 €","Ordinal","SDaeqeink_k1"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",10,">4500 bis 5000 €","> 4,500 to 5,000 €","Ordinal","SDaeqeink_k10"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",11,"Mehr als 5000 €","More than 5000 €","Ordinal","SDaeqeink_k11"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",2,">500 bis 1000 €","> 500 to € 1,000","Ordinal","SDaeqeink_k2"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",3,">1000 bis 1500 €","> 1000 to 1500 €","Ordinal","SDaeqeink_k3"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",4,">1500 bis 2000 €","> 1500 to 2000 €","Ordinal","SDaeqeink_k4"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",5,">2000 bis 2500 €","> 2000 to 2500 €","Ordinal","SDaeqeink_k5"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",6,">2500 bis 3000 €","> 2500 to 3000 €","Ordinal","SDaeqeink_k6"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",7,">3000 bis 3500 €","> 3000 to 3500 €","Ordinal","SDaeqeink_k7"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",8,">3500 bis 4000 €","> 3500 to 4000 €","Ordinal","SDaeqeink_k8"
"SDaeqeink_k","Soziodemografie (1704)","Sociodemography (1704)","Äquivalenzeinkommen (imputiert,kat) [€]","Equivalent income (imputed, kat) [€]",9,">4000 bis 4500 €","> 4,000 to 4,500 €","Ordinal","SDaeqeink_k9"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",-96,"Filterbed. fehlend (kein berufl. Abschluss)","Filterbed. missing (no berufl. final)","Nominal","SDbild4C-96"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",1,"Anlernausbildung, berufliches Praktikum","Semi-skilled training, practical training","Nominal","SDbild4C1"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",10,"Meister/in, Techniker/in oder gleichwertiger Fachschulabschluss","Master /, technician / specialist degree or equivalent in","Nominal","SDbild4C10"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",11,"Fachschule der DDR","College of the GDR","Nominal","SDbild4C11"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",12,"Fachakademie (nur in Bayern)","Fachakademie (only in Bavaria)","Nominal","SDbild4C12"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",13,"Berufsakademie","Cooperative Education","Nominal","SDbild4C13"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",14,"Verwaltungsfachhochschule","Administration Fachhochschule","Nominal","SDbild4C14"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",15,"Fachhochschule (Ingenieurschule, Hochschule (FH) für angew. Wissenschaften)","University of Applied Sciences (School of Engineering, University (FH) for angew. Sciences)","Nominal","SDbild4C15"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",16,"Universität (wissenschaftl. Hochschule/Kunsthochschule/Päd. Hochschule/Theol. Hochschule)","University (scientific. College / Academy / Päd. College / Theol. Hochschule)","Nominal","SDbild4C16"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",17,"Hochschulabschluss o.n.A. zur Art der Hochschule/Fachhochschule","Graduate degree o.n.A. the nature of the University / College","Nominal","SDbild4C17"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",18,"Abschluss ohne nähere Angabe","Statements not otherwise specified","Nominal","SDbild4C18"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",2,"Berufsvorbereitungsjahr","Berufsvorbereitungsjahr","Nominal","SDbild4C2"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",3,"Lehre, Berufsausbildung im dualen System","Teaching, vocational training in the dual system","Nominal","SDbild4C3"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",4,"Berufsqualifizierender Abschluss an einer Berufsfachschule, Kollegschule","Qualifying degree at a vocational school, college school","Nominal","SDbild4C4"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",5,"Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung","Preparatory training for the middle service in public administration","Nominal","SDbild4C5"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",6,"Einjährig (z.B. Krankenpflegehelfer/in, Alterpflerger/in, Rettungsassistent/in)","Annual (e.g. Krankenpflegehelfer / in, Alterpflerger / in, paramedic / in)","Nominal","SDbild4C6"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",7,"Zweijährig (z.B. Masseur/in, Medizinischer/Medizinische Bademeister/in, PTA, Podologe/Podologin)","Biennial (e.g. ATM / in, Medical / balneotherapists / in, PTA, podiatrist / Podologin)","Nominal","SDbild4C7"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",8,"Dreijährig (z.B. Physiotherapie, Gesundheits- und Krankenpflege, MTA, Alternpflege)","Three year (e.g., physical therapy, nurses, MTA, care of the elderly)","Nominal","SDbild4C8"
"SDbild4C","Soziodemografie (1704)","Sociodemography (1704)","Höchster berufl. Ausbildungs- oder Hochschul/Fachhochschulabschluss","Highest berufl. Training or university / college degree",9,"Ausbildungsstätten/Schulen für Erzieher/innen","Training centers / schools for educators / inside","Nominal","SDbild4C9"
"SDbverh2","Soziodemografie (1704)","Sociodemography (1704)","Art des Beschäftigungsverhältnisses","Type of employment",-96,"Filterbed. fehlend","Filterbed. missing","Nominal","SDbverh2-96"
"SDbverh2","Soziodemografie (1704)","Sociodemography (1704)","Art des Beschäftigungsverhältnisses","Type of employment",-97,"Nicht erhoben","not applicable","Nominal","SDbverh2-97"
"SDbverh2","Soziodemografie (1704)","Sociodemography (1704)","Art des Beschäftigungsverhältnisses","Type of employment",1,"Unbefristetes Beschäftigungsverhältnis","Indefinite employment","Nominal","SDbverh21"
"SDbverh2","Soziodemografie (1704)","Sociodemography (1704)","Art des Beschäftigungsverhältnisses","Type of employment",2,"Befristetes Beschäftigungsverhältnis","Temporary employment","Nominal","SDbverh22"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",-97,"Nicht erhoben","not applicable","Nominal","SDhvtypD-97"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",1,"Ich selbst","I myself","Nominal","SDhvtypD1"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",2,"Es gibt keinen Hauptverdiener","There is no main breadwinner","Nominal","SDhvtypD2"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",3,"Meine Partnerin/Mein Partner","My partner / my partner","Nominal","SDhvtypD3"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",4,"Meine Mutter/Mein Vater","My mother / my father","Nominal","SDhvtypD4"
"SDhvtypD","Soziodemografie (1704)","Sociodemography (1704)","Hauptverdiener im Haushalt","Breadwinner in the household",5,"Eine andere Person","Another person","Nominal","SDhvtypD5"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",10,"Erwerbstätig","employment","Nominal","SDmainstat10"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",20,"Arbeitslos","Unemployed","Nominal","SDmainstat20"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",31,"Schüler, Student, Weiterbildung, unbez. Praktika","Pupil, student, education, unbez. Internships","Nominal","SDmainstat31"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",32,"Ruhestand, Vorruhestand","Retirement, early retirement","Nominal","SDmainstat32"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",33,"Erwerbsunfähig","Unable acquisition","Nominal","SDmainstat33"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",34,"Wehr- oder Zivildienst","Military or civilian service","Nominal","SDmainstat34"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",35,"Hausfrau, -mann","Housewife husband,","Nominal","SDmainstat35"
"SDmainstat","Soziodemografie (1704)","Sociodemography (1704)","Erwerbstätigkeit (EHIS)","Employment (EHIS)",36,"Aus and. Gründen nicht erwerbstätig","Move from other reasons. Inactive","Nominal","SDmainstat36"
"SDalo","Soziodemografie (1704)","Sociodemography (1704)","Arbeitslos i.d.l. 5 Jahren","Unemployed i.d.l. 5 years",-97,"Nicht erhoben","not applicable","Nominal","SDalo-97"
"SDalo","Soziodemografie (1704)","Sociodemography (1704)","Arbeitslos i.d.l. 5 Jahren","Unemployed i.d.l. 5 years",1,"Ja","Yes","Nominal","SDalo1"
"SDalo","Soziodemografie (1704)","Sociodemography (1704)","Arbeitslos i.d.l. 5 Jahren","Unemployed i.d.l. 5 years",2,"Nein","No","Nominal","SDalo2"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",10,"Ein-Personen-Haushalt","One person household","Nominal","PAhhtype10"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",21,"Alleinerziehend mit Kind(ern) < 25 Jahre","Single parent with child (ren) <25 years","Nominal","PAhhtype21"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",22,"Paar ohne Kind(er) < 25 Jahre","Couple without child (ren) <25 years","Nominal","PAhhtype22"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",23,"Paar mit Kind(ern) < 25 Jahre","Couple with child (ren) <25 years","Nominal","PAhhtype23"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",24,"Paar oder Alleinerz. mit Kind(ern) < 25 J. und and. Personen im HH","Couple or Alleinerz. with child (ren) <25 J. and and. people in HH","Nominal","PAhhtype24"
"PAhhtype","Personenangaben (1702)","Personal data (1702)","Haushaltstyp","household type",25,"Anderer Haushaltstyp","Another type of household","Nominal","PAhhtype25"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-95,"Eingangsfrage wn/kA","Input question wn / kA","Scale","ENobstBz1-95"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-96,"Filterbed. fehlend (kein tägl. Obstverzehr)","Filterbed. absent (no daily. fruit consumption)","Scale","ENobstBz1-96"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-99,"Keine Angabe","No information","Scale","ENobstBz1-99"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-94,"Missing gesetzt (Extremwert)","Missing set (extreme value)","Scale","ENobstBz1-94"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-97,"Nicht erhoben (<3 Jahre)","Not applicable (<3 years)","Scale","ENobstBz1-97"
"ENobstBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Obst: pro Tag","Consumption of fruits: per day",-98,"Weiß nicht","I do not know","Scale","ENobstBz1-98"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-95,"Eingangsfrage wn/kA","Input question wn / kA","Scale","ENgemBz1-95"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-96,"Filterbed. fehlend (kein tägl. Gemüseverzehr)","Filterbed. absent (no daily. vegetable consumption)","Scale","ENgemBz1-96"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-99,"Keine Angabe","No information","Scale","ENgemBz1-99"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-94,"Missing gesetzt (Extremwert)","Missing set (extreme value)","Scale","ENgemBz1-94"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-97,"Nicht erhoben (<3 Jahre)","Not applicable (<3 years)","Scale","ENgemBz1-97"
"ENgemBz1","Ernährung (1502)","Nutrition (1502)","Verzehr von Gemüse: pro Tag","Consumption of vegetables: per day",-98,"Weiß nicht","I do not know","Scale","ENgemBz1-98"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",1,"Tägl. Alkoholkonsum","Daily. alcohol consumption","Ordinal","AKoft12_k1"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",2,"Wöchentl. Alkoholkonsum","Weekly. alcohol consumption","Ordinal","AKoft12_k2"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",5,"Monatl. Alkoholkonsum","Monthly. alcohol consumption","Ordinal","AKoft12_k5"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",7,"Weniger als monatl. Alkoholkonsum","Less than monthly. alcohol consumption","Ordinal","AKoft12_k7"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",8,"Kein Alkoholkonsum mehr","No more alcohol consumption","Ordinal","AKoft12_k8"
"AKoft12_k","Alkohol (1504)","Alcohol (1504)","Alkohol i.d.l. 12 Mon. in 6 Kat.","Alcohol i.d.l. 12 months in 6 Cat.",9,"Kein Alkoholkonsum","No alcohol consumption","Ordinal","AKoft12_k9"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",-99,"Keine Angabe","No information","Ordinal","RCstat-99"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",-98,"Weiß nicht","I do not know","Ordinal","RCstat-98"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",1,"Ja, täglich","Yes, daily","Ordinal","RCstat1"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",2,"Ja, gelegentlich","Yes, occasionally","Ordinal","RCstat2"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",3,"Nein, nicht mehr","No not more","Ordinal","RCstat3"
"RCstat","Rauchen (1505)","Smoking (1505)","Rauchen","Smoke",4,"Habe noch nie geraucht","Have never smoked","Ordinal","RCstat4"
"KAehispaq2","Körperliche Aktivität (1501)","Physical Activity (1501)","Bewegung zu Fuß: Tage pro Woche","Movement on foot: days a week",0,"Nie oder seltener als 1 Tag pro Woche","Never or rarely than 1 day per week","Scale","KAehispaq20"
"KAehispaq4","Körperliche Aktivität (1501)","Physical Activity (1501)","Bewegung mit Fahrrad: Tage pro Woche","Movement with bicycle: days a week",0,"Nie oder seltener als 1 Tag pro Woche","Never or rarely than 1 day per week","Scale","KAehispaq40"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",-96,"Filterbed. fehlend (kein Sport)","Filterbed. missing (no sports)","Ordinal","KAspodauC_k-96"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",0,"0 Minuten","0 minutes","Ordinal","KAspodauC_k0"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",1,"1 bis 30 Minuten","1 to 30 minutes","Ordinal","KAspodauC_k1"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",10,"271 bis 300 Minuten","271 to 300 minutes","Ordinal","KAspodauC_k10"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",11,"301 bis 330 Minuten","301 to 330 minutes","Ordinal","KAspodauC_k11"
"KAspodauC_k","Körperliche Aktivität (1501)","Physical Activity (1501)","Sport pro Woche insgesamt (in 30 min kategoriesiert)","Sports week in total (category Siert in 30 min)",12,"331 bis 360 Minuten","331 to 360 minutes","Ordinal","KAspodauC_k12"
